a,net3,(V)
0,0.595997128,
0.01,0.595871442,
0.02,0.595707942,
0.03,0.595493126,
0.04,0.595207822,
0.05,0.59482474,
0.06,0.594304906,
0.07,0.593592202,
0.08,0.592604556,
0.09,0.591218811,
0.1,0.589243011,
0.11,0.586361292,
0.12,0.582012173,
0.13,0.575079354,
0.14,0.562799643,
0.15,0.537235091,
0.16,0.479424388,
0.17,0.401032764,
0.18,0.327026454,
0.19,0.262035555,
0.2,0.206874202,
0.21,0.161298591,
0.22,0.124465498,
0.23,0.095230895,
0.24,0.072364642,
0.25,0.054688457,
0.26,0.041151318,
0.27,0.03085998,
0.28,0.02308104,
0.29,0.017227367,
0.3,0.012837673,
0.31,0.009554607,
0.32,0.007104246,
0.33,0.005278295,
0.34,0.003919315,
0.35,0.002908847,
0.36,0.002158078,
0.37,0.001600589,
0.38,0.001186815,
0.39,0.000879823,
0.4,0.000652124,
0.41,0.00048328,
0.42,0.000358104,
0.43,0.00026532,
0.44,0.000196555,
0.45,0.000145598,
0.46,0.000107842,
0.47,7.99E-05,
0.48,5.91E-05,
0.49,4.38E-05,
0.5,3.24E-05,
0.51,2.40E-05,
0.52,1.78E-05,
0.53,1.32E-05,
0.54,9.74E-06,
0.55,7.21E-06,
0.56,5.34E-06,
0.57,3.95E-06,
0.58,2.92E-06,
0.59,2.16E-06,
0.6,1.60E-06,
